Title,Corresponding author,country,institute,Year,Sample Name,Pt at% in Metal Element,Pd at% in metal element,Au at% in Metal Element,Ir at% in metal element,Ru at% in metal element,Ni at% in Metal Element,Co at% in Metal Element,Fe at% in metal element,Mn at% in metal element,Zn at% in metal element,Cu at% in Metal Element,Ti at% in metal element,Cr at% in metal element,Mo at% in metal element,Ag at% in metal element,V at% in metal element,Sc at% in metal element,W at% in metal element,Os at% in metal element,Ga at% in metal element,Total Metal Mass Ratio wt%,N at%,Sn at%,S at%,O at%,Ti at%,Ta at%,Nb at%,Si at%,W at%,C wt%,Particle Diameter (nm),Particle variance,carbon substrate type,carbon particle diameter(nm),Support BET Surface Area(m2/g),special sturcture,particle,nanowire,core-shell,Wet Reduction Temperature (⊥),Wet Reduction Time (min),mircrowave(0/1),Reducing agent( chemical name in english),polyhydric alcohols,heat reduction,inorganic reducing agent,organic reducing agent,pH,Annealing Temperature (⊥),Annealing Time (h),Atomosphere h2,Atomosphere inert,Electrochemical Active Surface Area (m2/g),Catalyst Mass Activity (mA mg-1),Catalyst Specific Activity (mA cm-2),Half wave potential ㄗV vsRHEㄘ,Onset Potential ㄗV vsRHEㄘ,ADT cycles,Reduce in half wave potential  mV,Reduce in MA/ mA mg-1,Reduce in SA/mA cm-2,I/C Ratio(Ionomer/Catalyst),Active Area (cm2),Cathode Platinum Loading (mgPt cm-2),Anode Platinum Loading(mgPt cm-2),Anodic Catalyst Type x wt% Pt/C,Membrane,Membrane Thickness (米m),Hot Press Temperature (⊥),Hot Press Time (min),Hot Press Pressure (Mpa),Humidity %,GDE for 1/CCM for 0,Cell Temperature (⊥),Flowing Rate of Anode Gas (H2) (ml min-1),Flowing Rate of Cathode Gas(O2/air) (ml min-1),stoichiometry/anode,stoichiometry/cathode,stoich to flow anode,stoich to flow cathode,Backpressure (Mpa),"Current decay at 0.6V(ma,cm2)",Cathode Gas Oxygen Ratio,Maximum Power Density mW cm-2,MPD caculated,qualified,Open Circuit Voltage V,Voltage 100mA cm0,Voltage 200mA cm0,Voltage 300mA cm0,Voltage 400mA cm0,Voltage 500mA cm0,Voltage 600mA cm0,Voltage 700mA cm0,Voltage 800mA cm0,Voltage 900mA cm0,Voltage 1000mA cm0,Voltage 1100mA cm0,Voltage 1200mA cm0,Voltage 1300mA cm0,Voltage 1400mA cm0,Voltage 1500mA cm0,Voltage 1600mA cm0,Voltage 1700mA cm0,Voltage 1800mA cm0,Voltage 1900mA cm0,Voltage 2000mA cm0,Voltage 2100mA cm0,Voltage 2200mA cm0,Voltage 2300mA cm0,Voltage 2400mA cm0,Voltage 2500mA cm0,Voltage 2600mA cm0,Voltage 2700mA cm0,Voltage 2800mA cm0,Voltage 2900mA cm0,Voltage 3000mA cm0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preparation and characterization of carbon nanofibers as catalyst support material for PEMFC,HojinRyu,Korea,Korea Research Institute of Chemical Technology,2004,Pt/CNFs,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,80,3.1,,CNTs,50,120,nanowire,0,1,0,,,0,NaBH4,0,0,1,0,7,25,0,0,0,55,225,0.409090909,,,,,,,,5,0.5,0.5,20,nafion 1035,89,130,1,13.78,100,1,80,,,,,0,0,0.1,,1,520,520,0,0.96,0.76,0.71,0.67,0.64,0.6,0.58,0.55,0.52,0.5,0.47,0.45,0.43,0.4,0.37,0.32,0.2733,0.23239,0.19625,0.1641,0.1353,0.10936,0.08588,0.06452,0.04501,0.02711,0.01063,0.01,0.01,0.01,0.01,76,142,201,256,300,348,385,416,450,470,495,516,520,518,480,437.28,395.063,353.25,311.79,270.6,229.656,188.936,148.396,108.024,67.775,27.638,27,28,29,30,520
Synthesis of platinum/multi-wall carbon nanotube catalysts,Pan Mu,China,Wuhan University of Technology,2004,Pt/MWNT,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,80,5,,CNTs,,120,nanowire,0,1,0,,,0,N2H4﹞H2O,0,0,1,0,7,400,2,1,0,55,225,0.409090909,,,,,,,,,0.11,0.11,20,nafion 117,175,,,,100,1,25,,,,,0,0,0,,1,275,275,0,1.03,0.76,0.7,0.67,0.62,0.55,0.41,0.28481,0.18358,0.10003,0.0299,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,76,140,201,248,275,246,199.367,146.864,90.027,29.9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,275
Highly stable Pt每Ru/C as an anode catalyst for use in polymer electrolyte fuel cells,A. Pozio,Italy,University of Rome,2004,PtRu/C,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,80,3.1,,CNTs,50,120,nanowire,0,1,0,,,0,NaBH4,0,0,1,0,7,25,0,0,0,55,225,0.409090909,,,,,,,0.5,,0.61946,0.30973,13.18,nafion 112,50,,,,100,1,75,300,150,2,1,300,150,0.14,,1,1206.81,1206.81,0,0.96,0.84,0.79,0.75,0.725,0.7,0.675,0.65119,0.62955,0.60978,0.59167,0.575,0.55962,0.54537,0.53214,0.51983,0.50833,0.49758,0.4875,0.47803,0.46912,0.46071,0.45278,0.44527,0.43816,0.43141,0.425,0.4189,0.4131,0.40756,0.40227,84,158,225,290,350,405,455.833,503.64,548.802,591.67,632.5,671.544,708.981,744.996,779.745,813.328,845.886,877.5,908.257,938.24,967.491,996.116,1024.121,1051.584,1078.525,1105,1131.03,1156.68,1181.924,1206.81,1206.81
In?uence of atomic ordering on the electrocatalytic activity of Pt每Co alloys in alkaline electrolyte and proton exchange membrane fuel cells,Arumugam Manthiram,United States,University of Texas at Austin,2004,Pt3Co/C,73.14049587,0,0,0,0,0,26.85950413,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,5.7,,XC-72R,30,230,none,1,0,0,,120,0,NaBH4,0,0,1,0,9,900,1,1,0,88,180,0.204545455,,,,,,,,5,0.9,1,,nafion 117,175,130,2,,100,1,90,,,,,0,0,0,,1,560,560,0,0.92,0.77,0.71,0.665,0.645,0.625,0.59,0.56,0.54,0.51,0.49,0.465,0.44,0.42,0.4,0.37,0.34156,0.31592,0.2927,0.27157,0.25225,0.23452,0.2182,0.20312,0.18915,0.17617,0.16407,0.15277,0.1422,0.13228,0.12296,77,142,199.5,258,312.5,354,392,432,459,490,511.5,528,546,560,555,546.496,537.064,526.86,515.983,504.5,492.492,480.04,467.176,453.96,440.425,426.582,412.479,398.16,383.612,368.88,560
In?uence of atomic ordering on the electrocatalytic activity of Pt每Co alloys in alkaline electrolyte and proton exchange membrane fuel cells,Arumugam Manthiram,United States,University of Texas at Austin,2004,Pt3Co/C,63.16120907,0,0,0,0,0,36.83879093,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,6.7,,XC-72R,30,230,none,1,0,0,,120,0,NaBH4,0,0,1,0,9,900,1,1,0,88,180,0.204545455,,,,,,,,5,0.85,1,,nafion 117,175,130,2,,100,1,90,,,,,0,0,0,,1,320.716,320.716,0,0.92,0.7,0.63,0.57,0.53,0.48,0.445,0.405,0.37,0.35,0.32,0.29156,0.26592,0.2427,0.22157,0.20225,0.18452,0.1682,0.15312,0.13915,0.12617,0.11407,0.10277,0.0922,0.08228,0.07296,0.06419,0.05591,0.04808,0.04068,0.03366,70,126,171,212,240,267,283.5,296,315,320,320.716,319.104,315.51,310.198,303.375,295.232,285.94,275.616,264.385,252.34,239.547,226.094,212.06,197.472,182.4,166.894,150.957,134.624,117.972,100.98,320.716
In?uence of atomic ordering on the electrocatalytic activity of Pt每Co alloys in alkaline electrolyte and proton exchange membrane fuel cells,Arumugam Manthiram,United States,University of Texas at Austin,2004,PtCo/C,54.75638051,0,0,0,0,0,45.24361949,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,5.6,,XC-72R,30,230,none,1,0,0,,120,0,NaBH4,0,0,1,0,9,900,1,1,0,88,180,0.204545455,,,,,,,,5,0.8,1,,nafion 117,175,130,2,,100,1,90,,,,,0,0,0,,1,374,374,0,0.95,0.72,0.66,0.6,0.57,0.53,0.5,0.46,0.44,0.4,0.37,0.34,0.3,0.26238,0.22898,0.19914,0.1723,0.14805,0.12602,0.10592,0.08751,0.07059,0.05497,0.04052,0.02711,0.01463,0.01,0.01,0.01,0.01,0.01,72,132,180,228,265,300,322,352,360,370,374,360,341.094,320.572,298.71,275.68,251.685,226.836,201.248,175.02,148.239,120.934,93.196,65.064,36.575,26,27,28,29,30,374
In?uence of atomic ordering on the electrocatalytic activity of Pt每Co alloys in alkaline electrolyte and proton exchange membrane fuel cells,Arumugam Manthiram,United States,University of Texas at Austin,2004,PtCo/C,47.58064516,0,0,0,0,0,52.41935484,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,5.6,,XC-72R,30,230,none,1,0,0,,120,0,NaBH4,0,0,1,0,9,900,1,1,0,88,180,0.204545455,,,,,,,,5,0.75,1,,nafion 117,175,130,2,,100,1,90,,,,,0,0,0,,1,604.604,604.604,0,0.92,0.73,0.675,0.65,0.625,0.59,0.57,0.55,0.53,0.5,0.48,0.465,0.44,0.42,0.4,0.38,0.36086,0.34328,0.3271,0.31214,0.29827,0.28539,0.27338,0.26216,0.25166,0.2418,0.23254,0.22382,0.21559,0.20781,0.20045,73,135,195,250,295,342,385,424,450,480,511.5,528,546,560,570,577.376,583.576,588.78,593.066,596.54,599.319,601.436,602.968,603.984,604.5,604.604,604.314,603.652,602.649,601.35,604.604
In?uence of atomic ordering on the electrocatalytic activity of Pt每Co alloys in alkaline electrolyte and proton exchange membrane fuel cells,Arumugam Manthiram,United States,University of Texas at Austin,2004,Pt3Co/C,73.14049587,0,0,0,0,0,26.85950413,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,5.5,,XC-72R,30,230,none,1,0,0,,720,0,ammonium hydroxide,0,0,1,0,9,900,1,1,0,88,180,0.204545455,,,,,,,,5,0.9,1,,nafion 117,175,130,2,,100,1,90,,,,,0,0,0,,1,756,756,0,0.98,0.83,0.77,0.74,0.72,0.7,0.68,0.65,0.63,0.61,0.59,0.57,0.55,0.53,0.51,0.49,0.47,0.44,0.42,0.39,0.37,0.34,0.32,0.30086,0.28328,0.2671,0.25214,0.23827,0.22539,0.21338,0.20216,83,154,222,288,350,408,455,504,549,590,627,660,689,714,735,752,748,756,741,740,714,704,691.978,679.872,667.75,655.564,643.329,631.092,618.802,606.48,756
In?uence of atomic ordering on the electrocatalytic activity of Pt每Co alloys in alkaline electrolyte and proton exchange membrane fuel cells,Arumugam Manthiram,United States,University of Texas at Austin,2004,Pt3Co/C,63.16120907,0,0,0,0,0,36.83879093,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,5.4,,XC-72R,30,230,none,1,0,0,,720,0,ammonium hydroxide,0,0,1,0,9,900,1,1,0,88,180,0.204545455,,,,,,,,5,0.85,1,,nafion 117,175,130,2,,100,1,90,,,,,0,0,0,,1,714,714,0,0.98,0.84,0.795,0.765,0.73,0.71,0.68,0.66,0.64,0.61,0.58,0.56,0.535,0.51,0.49,0.46,0.44,0.42,0.39,0.36,0.34,0.31,0.29,0.27086,0.25328,0.2371,0.22214,0.20827,0.19539,0.18338,0.17216,84,159,229.5,292,355,408,462,512,549,580,616,642,663,686,690,704,714,702,684,680,651,638,622.978,607.872,592.75,577.564,562.329,547.092,531.802,516.48,714
In?uence of atomic ordering on the electrocatalytic activity of Pt每Co alloys in alkaline electrolyte and proton exchange membrane fuel cells,Arumugam Manthiram,United States,University of Texas at Austin,2004,PtCo/C,54.75638051,0,0,0,0,0,45.24361949,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,5.4,,XC-72R,30,230,none,1,0,0,,720,0,ammonium hydroxide,0,0,1,0,9,900,1,1,0,88,180,0.204545455,,,,,,,,5,0.8,1,,nafion 117,175,130,2,,100,1,90,,,,,0,0,0,,1,756,756,0,0.95,0.795,0.76,0.73,0.71,0.69,0.67,0.64,0.62,0.6,0.58,0.57,0.55,0.53,0.51,0.49,0.47,0.44,0.42,0.39,0.375,0.34,0.32,0.30086,0.28328,0.2671,0.25214,0.23827,0.22539,0.21338,0.20216,79.5,152,219,284,345,402,448,496,540,580,627,660,689,714,735,752,748,756,741,750,714,704,691.978,679.872,667.75,655.564,643.329,631.092,618.802,606.48,756
In?uence of atomic ordering on the electrocatalytic activity of Pt每Co alloys in alkaline electrolyte and proton exchange membrane fuel cells,Arumugam Manthiram,United States,University of Texas at Austin,2004,PtCo/C,47.58064516,0,0,0,0,0,52.41935484,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,6,,XC-72R,30,230,none,1,0,0,,720,0,ammonium hydroxide,0,0,1,0,9,900,1,1,0,88,180,0.204545455,,,,,,,,5,0.75,1,,nafion 117,175,130,2,,100,1,90,,,,,0,0,0,,1,602,602,0,0.94,0.75,0.72,0.68,0.66,0.64,0.61,0.57,0.55,0.53,0.51,0.49,0.47,0.45,0.43,0.4,0.37,0.34,0.31156,0.28592,0.2627,0.24157,0.22225,0.20452,0.1882,0.17312,0.15915,0.14617,0.13407,0.12277,0.1122,75,144,204,264,320,366,399,440,477,510,539,564,585,602,600,592,578,560.808,543.248,525.4,507.297,488.95,470.396,451.68,432.8,413.79,394.659,375.396,356.033,336.6,602
PREPARATION AND CHARACTERIZATION OF Pt/C CATALYSTS FOR PEMFC CATHODE: EFFECT OF DIFFERENT REDUCTION METHODS,Huamin Zhang,China,Dalian Institute of Chemical PhysicsㄛChinese Academy of Sciences,2004,Pt/C(HCHO),100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,54,4.4,,XC-72R,30,230,none,1,0,0,80,120,0,formaldehyde,0,0,0,1,7,25,0,0,0,48.9,180,0.36809816,,,,,,,,5,,,1,not-mentioned,,,,,100,1,80,,,,,0,0,0.2,,0.21,495,495,0,0.98,0.83,0.8,0.77,0.74,0.72,0.68,0.65,0.61,0.55,0.45,0.35909,0.28333,0.21923,0.16429,0.11667,0.075,0.03824,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,83,160,231,296,360,408,455,488,495,450,394.999,339.996,284.999,230.006,175.005,120,65.008,18,19,20,21,22,23,24,25,26,27,28,29,30,495
PREPARATION AND CHARACTERIZATION OF Pt/C CATALYSTS FOR PEMFC CATHODE: EFFECT OF DIFFERENT REDUCTION METHODS,Huamin Zhang,China,Dalian Institute of Chemical PhysicsㄛChinese Academy of Sciences,2004,Pt/C(N2H4),100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,54,4.4,,XC-72R,30,230,none,1,0,0,80,120,0,Diamine,0,0,0,1,7,25,0,0,0,20.2,180,0.891089109,,,,,,,,5,,,1,not-mentioned,,,,,100,1,80,,,,,0,0,0.2,,0.21,416,416,0,0.98,0.83,0.79,0.755,0.72,0.69,0.64,0.575,0.52,0.45,0.33,0.22185,0.13313,0.05904,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,83,158,226.5,288,345,384,402.5,416,405,330,244.035,159.756,76.752,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,416
PREPARATION AND CHARACTERIZATION OF Pt/C CATALYSTS FOR PEMFC CATHODE: EFFECT OF DIFFERENT REDUCTION METHODS,Huamin Zhang,China,Dalian Institute of Chemical PhysicsㄛChinese Academy of Sciences,2004,Pt/C(NaBH4),100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,54,4.4,,XC-72R,30,230,none,1,0,0,80,120,0,NaBH4,0,0,1,0,7,25,0,0,0,15.6,180,1.153846154,,,,,,,,5,,,1,not-mentioned,,,,,100,1,80,,,,,0,0,0.2,,0.21,440,440,0,0.98,0.825,0.78,0.75,0.72,0.68,0.63,0.6,0.55,0.475,0.38,0.29344,0.221,0.15948,0.10659,0.06064,0.02033,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,82.5,156,225,288,340,378,420,440,427.5,380,322.784,265.2,207.324,149.226,90.96,32.528,17,18,19,20,21,22,23,24,25,26,27,28,29,30,440
Study of preparation of electrocatalysts for PEMFC byreverse micelles method,ZHU Ke,China,Tianjin University,2005,Pt/C,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,81,1.9,,XC-72R,30,230,none,1,0,0,,,0,Hydrazine hydrate,0,0,1,0,7,25,0,0,0,55,225,0.409090909,,,,,,,,4,0.4,0.4,1,nafion 115,75,,,,100,1,70,,,,,0,0,0.28,,1,495,495,0,0.99,0.8,0.74,0.72,0.69,0.67,0.65,0.62,0.58,0.55,0.48,0.4154,0.36007,0.31213,0.27021,0.23323,0.20037,0.17098,0.14454,0.12061,0.09887,0.07903,0.06084,0.0441,0.02866,0.01437,0.01,0.01,0.01,0.01,0.01,80,148,216,276,335,390,434,464,495,480,456.94,432.084,405.769,378.294,349.845,320.592,290.666,260.172,229.159,197.74,165.963,133.848,101.43,68.784,35.925,26,27,28,29,30,495
Well-dispersed surfactant-stabilized Pt C nanocatalysts for fuel cell application Dispersion control and surfactant removal,"Hsing, IM",China,Hong Kong University of Science and Technology,2005,Pt/C,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,80,2.2,,XC-72R,30,230,none,1,0,0,90,75,0,methanol,0,0,0,0,7,25,0,0,0,128.7,225,0.174825175,,,,,,,0.4286,5,0.4,0.4,1,nafion 112,50,135,1.5,7.5,100,1,80,,,,,0,0,0,,1,1058,1058,0,0.99,0.86,0.82,0.795,0.775,0.75,0.735,0.715,0.7,0.68,0.67,0.655,0.645,0.625,0.605,0.595,0.58,0.56,0.55,0.53,0.51,0.5,0.48,0.46,0.44,0.42,0.398,0.37,0.34,0.305,0.28,86,164,238.5,310,375,441,500.5,560,612,670,720.5,774,812.5,847,892.5,928,952,990,1007,1020,1050,1056,1058,1056,1050,1034.8,999,952,884.5,840,1058
Carbon Nanotube Film by Filtration as Cathode Catalyst Support for Proton-Exchange Membrane Fuel Cell,Yushan Yan,United States,University of California,2005,Pt/CNT,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,70,3.1,,CNTs,30,100,nanowire,0,1,0,140,180,0,ethylene glycol,1,0,0,0,13,25,0,0,0,55,225,0.409090909,,,,,,,0.4286,5,0.2,0.2,20,nafion 112,50,135,1.5,14,100,1,70,200,200,,,0,0,0.2,,1,588,588,0,0.98,0.825,0.805,0.77,0.73,0.69,0.66,0.63,0.6,0.56,0.53,0.51,0.48,0.45,0.42,0.39,0.35,0.32,0.275,0.24,0.18,0.12431,0.0761,0.03394,0.01,0.01,0.01,0.01,0.01,0.01,0.01,82.5,161,231,292,345,396,441,480,504,530,561,576,585,588,585,560,544,495,456,360,261.051,167.42,78.062,24,25,26,27,28,29,30,588
Preparation by Inorganic Colloid Method and Characterization of Pt/C Catalysts,TIAN Jian-Hua,China,Tianjin University,2005,Pt/C,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,80,3.05,,XC-72R,30,230,none,1,0,0,,180,0,formaldehyde,0,0,0,1,5,25,0,0,0,55,225,0.409090909,,,,,,,0.33,4,0.4,0.4,20,nafion 115,75,140,1.5,0.3,,1,70,,,,,0,0,0,,1,517,517,0,0.98,0.825,0.78,0.75,0.72,0.68,0.65,0.615,0.575,0.55,0.51,0.47,0.4,0.3354,0.28007,0.23213,0.19021,0.15323,0.12037,0.09098,0.06454,0.04061,0.01887,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,82.5,156,225,288,340,390,430.5,460,495,510,517,480,436.02,392.098,348.195,304.336,260.491,216.666,172.862,129.08,85.281,41.514,23,24,25,26,27,28,29,30,517
Fabrication and evaluation of the Pt/C catalyst for the anode of the PEMFC,Liu Weifeng,China,Dalian Institute of Chemical PhysicsㄛChinese Academy of Sciences,2005,Pt/C,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,80,3.1,,XC-72R,30,230,none,1,0,0,90,,0,formaldehyde,0,0,0,1,10,25,0,0,0,94,225,0.239361702,,,,,,,,,0.3,0.3,20,not-mentioned,,,,,,1,80,,,,,0,0,0,,1,588,588,0,,0.88,0.83,0.8,0.76,0.74,0.7,0.675,0.64,0.6,0.57,0.53,0.49,0.44,0.3933,0.35239,0.31625,0.2841,0.2553,0.22936,0.20588,0.18452,0.16501,0.14711,0.13063,0.11542,0.10132,0.08823,0.07604,0.06465,0.054,88,166,240,304,370,420,472.5,512,540,570,583,588,572,550.62,528.585,506,482.97,459.54,435.784,411.76,387.492,363.022,338.353,313.512,288.55,263.432,238.221,212.912,187.485,162,588
Fabrication and evaluation of the Pt/C catalyst for the anode of the PEMFC,Liu Weifeng,China,Dalian Institute of Chemical PhysicsㄛChinese Academy of Sciences,2005,Pt/C,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,90,3.1,,XC-72R,30,230,none,1,0,0,90,,0,formaldehyde,0,0,0,1,10,25,0,0,0,96,225,0.234375,,,,,,,,,0.3,0.15,10,not-mentioned,,,,,,1,80,,,,,0,0,0,,1,516,516,0,,0.825,0.77,0.73,0.68,0.65,0.62,0.575,0.55,0.51,0.48,0.45,0.43,0.39,0.35238,0.31898,0.28914,0.2623,0.23805,0.21602,0.19592,0.17751,0.16059,0.14497,0.13052,0.11711,0.10463,0.09299,0.0821,0.0719,0.06232,82.5,154,219,272,325,372,402.5,440,459,480,495,516,507,493.332,478.47,462.624,445.91,428.49,410.438,391.84,372.771,353.298,333.431,313.248,292.775,272.038,251.073,229.88,208.51,186.96,516
Fabrication and evaluation of the Pt/C catalyst for the anode of the PEMFC,Liu Weifeng,China,Dalian Institute of Chemical PhysicsㄛChinese Academy of Sciences,2005,Pt/C,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,95,2.2,,XC-72R,30,230,none,1,0,0,90,,0,formaldehyde,0,0,0,1,10,25,0,0,0,96,225,0.234375,,,,,,,,,0.3,0.075,5,not-mentioned,,,,,,1,80,,,,,0,0,0,,1,484,484,0,,0.81,0.75,0.72,0.68,0.65,0.61,0.57,0.55,0.51,0.48,0.44,0.4,0.35,0.3033,0.26239,0.22625,0.1941,0.1653,0.13936,0.11588,0.09452,0.07501,0.05711,0.04063,0.02542,0.01132,0.01,0.01,0.01,0.01,81,150,216,272,325,366,399,440,459,480,484,480,455,424.62,393.585,362,329.97,297.54,264.784,231.76,198.492,165.022,131.353,97.512,63.55,29.432,27,28,29,30,484
Fabrication and evaluation of the Pt/C catalyst for the anode of the PEMFC,Liu Weifeng,China,Dalian Institute of Chemical PhysicsㄛChinese Academy of Sciences,2005,Pt/C,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,97,1.3,,XC-72R,30,230,none,1,0,0,,,0,ethylene glycol,1,0,0,0,10,25,0,0,0,154,225,0.146103896,,,,,,,,,0.3,0.045,3,not-mentioned,,,,,,1,80,,,,,0,0,0,,1,576,576,0,,0.81,0.75,0.72,0.68,0.65,0.61,0.595,0.58,0.55,0.53,0.5,0.48,0.44,0.41,0.38156,0.35592,0.3327,0.31157,0.29225,0.27452,0.2582,0.24312,0.22915,0.21617,0.20407,0.19277,0.1822,0.17228,0.16296,0.15419,81,150,216,272,325,366,416.5,464,495,530,550,576,572,574,572.34,569.472,565.59,560.826,555.275,549.04,542.22,534.864,527.045,518.808,510.175,501.202,491.94,482.384,472.584,462.57,576
PtCo/C cathode catalyst for improved durability in PEMFCs,PingYu,United States,Hamilton Sunstrand Space Syst Int,2005,PtCo/C,71.52913571,0,0,0,0,0,28.47086429,0,0,0,0,0,0,0,0,0,0,0,0,0,52.1,0,0,0,0,0,0,0,0,0,47.9,4.55,,EC300,40,875,none,1,0,0,,,0,none,0,1,0,0,7,900,2,0,1,42,180,0.428571429,,,,,,,0.4286,25,0.4,0.4,46.5,nafion 112,50,,,,100,0,65,500,3000,,,0,0,0.1,,0.21,1226.55,1226.55,1,0.97,0.85,0.82,0.78,0.76,0.74,0.72,0.69,0.66,0.64,0.62,0.60086,0.58328,0.5671,0.55214,0.53827,0.52539,0.51338,0.50216,0.49166,0.4818,0.47254,0.46382,0.45559,0.44781,0.44045,0.43347,0.42685,0.42055,0.41456,0.40885,85,164,234,304,370,432,483,528,576,620,660.946,699.936,737.23,772.996,807.405,840.624,872.746,903.888,934.154,963.6,992.334,1020.404,1047.857,1074.744,1101.125,1127.022,1152.495,1177.54,1202.224,1226.55,1226.55
High performance membrane-electrode assemblies with ultra-low Pt loading for proton exchange membrane fuel cells,Arumugam Manthiram,United States,University of Texas at Austin,2005,Pt/C,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,80,3.1,,CNTs,30,100,nanowire,0,1,0,140,180,0,ethylene glycol,1,0,0,0,13,25,0,0,0,55,225,0.409090909,,,,,,,0.4286,5,0.25,0.25,20,nafion 115,75,,,,100,0,80,,,,,0,0,0,,1,645,645,0,,0.81,0.78,0.75,0.73,0.7,0.67,0.65,0.62,0.59,0.57,0.53,0.51,0.49,0.45,0.43,0.4,0.35,0.31,0.26,0.22,0.18238,0.14898,0.11914,0.0923,0.06805,0.04602,0.02592,0.01,0.01,0.01,81,156,225,292,350,402,455,496,531,570,583,612,637,630,645,640,595,558,494,440,382.998,327.756,274.022,221.52,170.125,119.652,69.984,28,29,30,645
High performance membrane-electrode assemblies with ultra-low Pt loading for proton exchange membrane fuel cells,Arumugam Manthiram,United States,University of Texas at Austin,2005,Pt/C,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,80,3.1,,CNTs,30,100,nanowire,0,1,0,140,180,0,ethylene glycol,1,0,0,0,13,25,0,0,0,55,225,0.409090909,,,,,,,0.4286,5,0.2,0.2,20,nafion 115,75,,,,100,0,80,,,,,0,0,0,,1,645,645,0,,0.81,0.78,0.75,0.71,0.69,0.65,0.62,0.605,0.59,0.57,0.53,0.51,0.49,0.45,0.43,0.4,0.37,0.33,0.3,0.26,0.21,0.17,0.13238,0.09898,0.06914,0.0423,0.01805,0.01,0.01,0.01,81,156,225,284,345,390,434,484,531,570,583,612,637,630,645,640,629,594,570,520,441,374,304.474,237.552,172.85,109.98,48.735,28,29,30,645
